title,material,weight,transport,recyclability,true_eco_score,co2_emissions,origin
reusable water bottle,Aluminum,0.73,Ship,High,F,0.65,FRANCE
reusable water bottle,Bamboo,1.86,Ship,Medium,D,0.8,SINGAPORE
reusable water bottle,Cardboard,0.4,Air,Medium,F,0.63,JAPAN
reusable water bottle,Cardboard,0.47,Ship,Medium,B,0.24,UK
reusable water bottle,Bamboo,1.6,Ship,Medium,D,0.69,INDIA
reusable water bottle,Aluminum,1.97,Air,High,F,5.52,ITALY
reusable water bottle,Aluminum,0.59,Air,High,F,1.65,ITALY
reusable water bottle,Plastic,0.8,Air,Low,F,2.4,ITALY
reusable water bottle,Paper,0.52,Air,Medium,F,0.59,FRANCE
reusable water bottle,Other,1.44,Air,Low,F,3.6,USA
reusable water bottle,Steel,0.29,Ship,High,C,0.29,BRAZIL
reusable water bottle,Paper,0.12,Ship,Medium,B,0.04,NORWAY
reusable water bottle,Plastic,0.66,Ship,Low,D,0.63,USA
reusable water bottle,Glass,1.54,Ship,High,D,1.29,JAPAN
reusable water bottle,Aluminum,0.81,Air,High,F,2.27,USA
reusable water bottle,Aluminum,0.86,Air,High,F,2.41,JAPAN
reusable water bottle,Cardboard,0.94,Land,Medium,E,0.59,FRANCE
reusable water bottle,Cardboard,1.7,Land,Medium,D,1.07,INDIA
reusable water bottle,Glass,0.15,Ship,High,B,0.13,INDIA
reusable water bottle,Bamboo,1.51,Land,Medium,D,0.82,RUSSIA
reusable water bottle,Glass,0.94,Land,High,A,0.99,BRAZIL
reusable water bottle,Steel,0.43,Ship,High,C,0.43,RUSSIA
reusable water bottle,Paper,1.6,Land,Medium,D,0.72,GERMANY
reusable water bottle,Other,0.73,Land,Low,B,0.73,CHINA
reusable water bottle,Bamboo,1.33,Air,Medium,F,1.8,SINGAPORE
reusable water bottle,Other,0.98,Land,High,D,0.69,ITALY
reusable water bottle,Bamboo,1.63,Ship,Medium,D,0.7,FRANCE
reusable water bottle,Plastic,0.24,Air,Low,F,0.72,GERMANY
reusable water bottle,Bamboo,1.4,Land,Medium,D,0.76,INDIA
reusable water bottle,Paper,0.11,Land,Medium,D,0.05,JAPAN
reusable water bottle,Paper,1.89,Ship,Medium,D,0.68,BRAZIL
reusable water bottle,Paper,1.93,Air,Medium,F,2.17,JAPAN
reusable water bottle,Bamboo,0.54,Ship,Medium,D,0.23,RUSSIA
reusable water bottle,Plastic,1.28,Land,Low,D,1.54,JAPAN
reusable water bottle,Aluminum,1.47,Air,High,F,4.12,BRAZIL
reusable water bottle,Cardboard,0.42,Air,Medium,F,0.66,GERMANY
reusable water bottle,Paper,1.05,Ship,Medium,A,0.38,ITALY
reusable water bottle,Bamboo,1.86,Land,Medium,D,1.0,FRANCE
reusable water bottle,Plastic,1.91,Ship,Low,D,1.83,FRANCE
reusable water bottle,Bamboo,1.31,Land,Medium,D,0.71,CHINA
reusable water bottle,Other,0.5,Land,Medium,D,0.45,ITALY
reusable water bottle,Cardboard,0.17,Ship,Medium,A,0.09,UK
reusable water bottle,Cardboard,0.62,Ship,Medium,D,0.31,GERMANY
reusable water bottle,Steel,0.99,Air,High,F,3.12,ITALY
reusable water bottle,Paper,1.78,Land,Medium,D,0.8,USA
reusable water bottle,Cardboard,1.88,Ship,Medium,D,0.95,USA
reusable water bottle,Cardboard,0.74,Land,Medium,D,0.47,FRANCE
reusable water bottle,Paper,1.85,Ship,Medium,D,0.67,CHINA
reusable water bottle,Steel,0.25,Air,High,F,0.79,GERMANY
reusable water bottle,Steel,0.97,Ship,High,C,0.98,RUSSIA
reusable water bottle,Cardboard,1.95,Ship,Medium,D,0.98,INDIA
reusable water bottle,Cardboard,0.6,Land,Medium,E,0.38,FRANCE
reusable water bottle,Aluminum,1.84,Air,High,F,5.15,ITALY
reusable water bottle,Paper,0.46,Ship,Medium,D,0.17,NORWAY
reusable water bottle,Plastic,0.5,Air,Low,F,1.5,ITALY
reusable water bottle,Plastic,0.75,Ship,Low,B,0.72,JAPAN
reusable water bottle,Bamboo,1.14,Land,Medium,E,0.62,UK
reusable water bottle,Plastic,1.95,Land,Low,D,2.34,SINGAPORE
reusable water bottle,Plastic,0.6,Land,Low,C,0.72,USA
reusable water bottle,Other,1.61,Air,Medium,F,3.62,ITALY
reusable water bottle,Other,1.47,Ship,Low,D,1.18,FRANCE
reusable water bottle,Cardboard,1.59,Land,Medium,D,1.0,GERMANY
reusable water bottle,Plastic,1.78,Air,Low,F,5.34,GERMANY
reusable water bottle,Aluminum,1.08,Air,High,F,3.02,JAPAN
reusable water bottle,Cardboard,0.34,Land,Medium,E,0.21,GERMANY
bamboo toothbrush,Plastic,1.5,Ship,Low,D,1.44,JAPAN
bamboo toothbrush,Cardboard,0.46,Ship,Medium,E,0.23,FRANCE
bamboo toothbrush,Glass,0.26,Ship,High,B,0.22,USA
bamboo toothbrush,Steel,0.36,Land,High,C,0.45,ITALY
bamboo toothbrush,Bamboo,1.89,Land,Medium,D,1.02,GERMANY
bamboo toothbrush,Cardboard,0.36,Air,Medium,F,0.57,SINGAPORE
bamboo toothbrush,Plastic,0.63,Land,Low,C,0.76,JAPAN
bamboo toothbrush,Other,0.73,Air,Medium,F,1.64,UK
bamboo toothbrush,Cardboard,0.12,Ship,Medium,D,0.06,BRAZIL
bamboo toothbrush,Plastic,1.81,Land,Low,D,2.17,JAPAN
bamboo toothbrush,Cardboard,0.6,Ship,Medium,A,0.3,NORWAY
bamboo toothbrush,Aluminum,1.53,Land,High,D,1.71,USA
bamboo toothbrush,Glass,0.66,Air,High,F,1.73,BRAZIL
bamboo toothbrush,Plastic,1.94,Land,Low,D,2.33,SINGAPORE
bamboo toothbrush,Steel,0.13,Land,High,C,0.16,RUSSIA
bamboo toothbrush,Bamboo,1.56,Ship,Medium,D,0.67,SINGAPORE
bamboo toothbrush,Aluminum,0.86,Air,High,F,2.41,ITALY
bamboo toothbrush,Plastic,1.63,Ship,Low,D,1.56,GERMANY
bamboo toothbrush,Glass,1.25,Air,High,F,3.28,BRAZIL
bamboo toothbrush,Cardboard,1.83,Land,Medium,D,1.15,JAPAN
bamboo toothbrush,Cardboard,1.61,Air,Medium,F,2.54,FRANCE
bamboo toothbrush,Paper,1.56,Land,Medium,D,0.7,BRAZIL
bamboo toothbrush,Steel,0.28,Land,High,C,0.35,SINGAPORE
bamboo toothbrush,Bamboo,1.99,Land,Medium,D,1.07,ITALY
bamboo toothbrush,Cardboard,1.46,Ship,Medium,D,0.74,NORWAY
bamboo toothbrush,Other,1.77,Land,Medium,D,1.59,FRANCE
bamboo toothbrush,Plastic,0.99,Air,Low,F,2.97,CHINA
bamboo toothbrush,Steel,1.75,Land,High,D,2.2,CHINA
bamboo toothbrush,Steel,0.63,Land,High,C,0.79,RUSSIA
bamboo toothbrush,Paper,0.28,Air,Medium,F,0.32,SINGAPORE
bamboo toothbrush,Steel,0.35,Air,High,F,1.1,FRANCE
bamboo toothbrush,Cardboard,0.78,Land,Medium,E,0.49,INDIA
bamboo toothbrush,Cardboard,0.8,Air,Medium,F,1.26,INDIA
bamboo toothbrush,Cardboard,0.51,Air,Medium,F,0.8,USA
bamboo toothbrush,Aluminum,1.9,Air,High,F,5.32,SINGAPORE
bamboo toothbrush,Plastic,0.89,Air,Low,F,2.67,CHINA
bamboo toothbrush,Paper,0.87,Air,Medium,F,0.98,UK
bamboo toothbrush,Paper,1.8,Land,Medium,D,0.81,BRAZIL
bamboo toothbrush,Aluminum,0.62,Land,High,D,0.69,FRANCE
bamboo toothbrush,Plastic,0.73,Ship,Low,B,0.7,SINGAPORE
bamboo toothbrush,Plastic,0.1,Land,Low,C,0.12,FRANCE
bamboo toothbrush,Bamboo,1.59,Ship,Medium,D,0.69,INDIA
bamboo toothbrush,Aluminum,1.46,Ship,High,D,1.31,NORWAY
bamboo toothbrush,Bamboo,0.73,Land,Medium,C,0.39,GERMANY
bamboo toothbrush,Paper,0.17,Land,Medium,F,0.08,UK
bamboo toothbrush,Plastic,0.31,Air,Low,F,0.93,NORWAY
bamboo toothbrush,Cardboard,1.91,Ship,Medium,D,0.96,CHINA
bamboo toothbrush,Plastic,1.79,Air,Low,F,5.37,RUSSIA
bamboo toothbrush,Steel,1.34,Land,High,D,1.69,CHINA
bamboo toothbrush,Cardboard,1.46,Air,Medium,F,2.3,GERMANY
bamboo toothbrush,Glass,0.15,Land,High,F,0.16,NORWAY
bamboo toothbrush,Paper,1.82,Ship,Medium,D,0.66,ITALY
bamboo toothbrush,Cardboard,1.69,Ship,Medium,D,0.85,ITALY
bamboo toothbrush,Steel,1.56,Land,High,D,1.97,BRAZIL
bamboo toothbrush,Bamboo,0.53,Ship,Medium,C,0.23,FRANCE
bamboo toothbrush,Plastic,1.68,Air,Low,F,5.04,CHINA
bamboo toothbrush,Steel,1.2,Ship,High,C,1.21,UK
bamboo toothbrush,Cardboard,1.51,Land,Medium,D,0.95,RUSSIA
bamboo toothbrush,Paper,0.22,Air,Medium,F,0.25,UK
bamboo toothbrush,Other,1.64,Ship,High,D,0.92,SINGAPORE
bamboo toothbrush,Aluminum,1.33,Ship,High,D,1.19,BRAZIL
bamboo toothbrush,Cardboard,1.43,Ship,Medium,D,0.72,SINGAPORE
bamboo toothbrush,Cardboard,0.43,Ship,Medium,E,0.22,USA
bamboo toothbrush,Plastic,0.43,Ship,Low,E,0.41,BRAZIL
bamboo toothbrush,Cardboard,0.33,Air,Medium,F,0.52,SINGAPORE
bamboo toothbrush,Aluminum,0.68,Air,High,F,1.9,GERMANY
bamboo toothbrush,Plastic,1.27,Land,Low,D,1.52,INDIA
bamboo toothbrush,Aluminum,0.32,Land,High,D,0.36,JAPAN
bamboo toothbrush,Plastic,1.28,Ship,Low,D,1.23,USA
bamboo toothbrush,Bamboo,1.39,Ship,Medium,D,0.6,ITALY
bamboo toothbrush,Plastic,0.19,Ship,Low,D,0.18,INDIA
bamboo toothbrush,Steel,1.13,Ship,High,C,1.14,INDIA
bamboo toothbrush,Glass,1.1,Land,High,E,1.16,GERMANY
bamboo toothbrush,Aluminum,1.21,Ship,High,D,1.08,JAPAN
bamboo toothbrush,Plastic,1.87,Air,Low,F,5.61,RUSSIA
bamboo toothbrush,Glass,0.47,Land,High,C,0.49,ITALY
bamboo toothbrush,Glass,1.36,Ship,High,D,1.14,NORWAY
bamboo toothbrush,Cardboard,0.3,Air,Medium,F,0.47,CHINA
bamboo toothbrush,Other,1.72,Ship,High,D,0.96,USA
bamboo toothbrush,Steel,1.64,Ship,High,D,1.65,ITALY
bamboo toothbrush,Plastic,0.31,Ship,Low,B,0.3,CHINA
bamboo toothbrush,Steel,1.45,Land,High,D,1.83,JAPAN
bamboo toothbrush,Bamboo,0.12,Land,Medium,C,0.06,UK
bamboo toothbrush,Other,1.0,Land,High,D,0.7,CHINA
bamboo toothbrush,Glass,0.55,Ship,High,B,0.46,JAPAN
bamboo toothbrush,Other,1.9,Ship,High,D,1.06,USA
bamboo toothbrush,Plastic,0.71,Land,Low,C,0.85,RUSSIA
bamboo toothbrush,Other,0.64,Air,High,F,1.12,GERMANY
bamboo toothbrush,Steel,1.78,Ship,High,D,1.79,BRAZIL
bamboo toothbrush,Other,0.23,Ship,High,C,0.13,NORWAY
bamboo toothbrush,Glass,1.41,Air,High,F,3.7,USA
bamboo toothbrush,Other,0.16,Ship,High,C,0.09,UK
bamboo toothbrush,Other,0.68,Ship,Medium,F,0.49,CHINA
bamboo toothbrush,Other,1.64,Air,Medium,F,3.69,BRAZIL
bamboo toothbrush,Paper,1.12,Ship,Medium,E,0.4,JAPAN
bamboo toothbrush,Cardboard,0.75,Land,Medium,B,0.47,INDIA
bamboo toothbrush,Glass,0.63,Land,High,D,0.66,RUSSIA
bamboo toothbrush,Other,0.77,Land,High,D,0.54,ITALY
bamboo toothbrush,Bamboo,0.87,Land,Medium,E,0.47,GERMANY
bamboo toothbrush,Glass,0.67,Air,High,F,1.76,BRAZIL
led desk lamp,Other,1.82,Land,Medium,D,1.64,USA
led desk lamp,Cardboard,0.57,Land,Medium,F,0.36,CHINA
led desk lamp,Aluminum,1.87,Ship,High,D,1.68,SINGAPORE
led desk lamp,Aluminum,0.44,Ship,High,D,0.39,NORWAY
led desk lamp,Steel,1.87,Air,High,F,5.89,UK
led desk lamp,Paper,0.74,Land,Medium,F,0.33,ITALY
led desk lamp,Cardboard,0.27,Air,Medium,F,0.43,UK
led desk lamp,Glass,1.64,Air,High,F,4.3,CHINA
led desk lamp,Other,0.64,Ship,High,E,0.36,JAPAN
led desk lamp,Cardboard,1.95,Land,Medium,D,1.23,JAPAN
led desk lamp,Other,0.85,Land,Low,B,0.85,GERMANY
led desk lamp,Cardboard,0.13,Air,Medium,F,0.2,ITALY
led desk lamp,Glass,0.69,Air,High,F,1.81,GERMANY
led desk lamp,Glass,0.73,Land,High,A,0.77,SINGAPORE
led desk lamp,Other,0.61,Land,High,E,0.43,JAPAN
led desk lamp,Glass,0.53,Ship,High,B,0.45,JAPAN
led desk lamp,Bamboo,1.79,Land,Medium,D,0.97,NORWAY
led desk lamp,Paper,0.44,Ship,Medium,D,0.16,JAPAN
led desk lamp,Steel,1.3,Ship,High,D,1.31,NORWAY
led desk lamp,Other,1.03,Air,Low,F,2.58,USA
led desk lamp,Steel,0.33,Ship,High,C,0.33,SINGAPORE
led desk lamp,Cardboard,1.64,Air,Medium,F,2.58,CHINA
led desk lamp,Glass,1.31,Air,High,F,3.44,FRANCE
led desk lamp,Other,1.46,Land,Medium,D,1.31,GERMANY
led desk lamp,Other,0.88,Land,Medium,E,0.79,FRANCE
led desk lamp,Cardboard,0.99,Land,Medium,C,0.62,USA
led desk lamp,Glass,1.02,Air,High,F,2.68,RUSSIA
led desk lamp,Cardboard,1.2,Air,Medium,F,1.89,ITALY
led desk lamp,Paper,1.74,Ship,Medium,D,0.63,RUSSIA
led desk lamp,Paper,1.06,Ship,Medium,C,0.38,GERMANY
led desk lamp,Plastic,0.64,Air,Low,F,1.92,SINGAPORE
led desk lamp,Other,1.05,Ship,Medium,B,0.76,FRANCE
led desk lamp,Steel,1.42,Ship,High,D,1.43,JAPAN
led desk lamp,Cardboard,1.74,Air,Medium,F,2.74,JAPAN
led desk lamp,Other,0.52,Air,High,F,0.91,CHINA
led desk lamp,Paper,1.58,Air,Medium,F,1.78,ITALY
led desk lamp,Cardboard,1.08,Air,Medium,F,1.7,NORWAY
led desk lamp,Aluminum,1.03,Ship,High,D,0.92,FRANCE
led desk lamp,Aluminum,0.59,Ship,High,C,0.53,BRAZIL
led desk lamp,Other,0.18,Air,Low,F,0.45,NORWAY
led desk lamp,Bamboo,0.23,Land,Medium,D,0.12,UK
led desk lamp,Paper,1.74,Ship,Medium,D,0.63,NORWAY
led desk lamp,Aluminum,0.18,Land,High,B,0.2,BRAZIL
led desk lamp,Bamboo,1.48,Land,Medium,D,0.8,INDIA
led desk lamp,Glass,1.08,Ship,High,B,0.91,USA
led desk lamp,Bamboo,1.02,Ship,Medium,A,0.44,INDIA
led desk lamp,Glass,0.87,Land,High,F,0.91,SINGAPORE
led desk lamp,Paper,1.33,Ship,Medium,D,0.48,BRAZIL
led desk lamp,Steel,1.21,Land,High,D,1.52,USA
led desk lamp,Paper,1.75,Air,Medium,F,1.97,USA
led desk lamp,Plastic,1.04,Ship,Low,C,1.0,BRAZIL
led desk lamp,Paper,1.04,Land,Medium,E,0.47,SINGAPORE
led desk lamp,Aluminum,1.58,Ship,High,D,1.42,SINGAPORE
led desk lamp,Glass,0.97,Air,High,F,2.55,SINGAPORE
led desk lamp,Glass,0.54,Land,High,B,0.57,INDIA
led desk lamp,Aluminum,0.57,Land,High,A,0.64,CHINA
led desk lamp,Bamboo,1.01,Ship,Medium,F,0.44,CHINA
led desk lamp,Cardboard,1.6,Ship,Medium,D,0.81,INDIA
led desk lamp,Paper,0.93,Ship,Medium,D,0.33,FRANCE
led desk lamp,Bamboo,1.46,Land,Medium,D,0.79,ITALY
led desk lamp,Other,0.4,Land,Low,A,0.4,NORWAY
led desk lamp,Paper,1.54,Ship,Medium,D,0.55,FRANCE
led desk lamp,Bamboo,1.17,Land,Medium,F,0.63,GERMANY
led desk lamp,Bamboo,1.59,Air,Medium,F,2.15,CHINA
led desk lamp,Cardboard,1.78,Land,Medium,D,1.12,USA
led desk lamp,Aluminum,1.3,Ship,High,D,1.16,SINGAPORE
led desk lamp,Bamboo,1.78,Ship,Medium,D,0.77,FRANCE
led desk lamp,Bamboo,1.97,Land,Medium,D,1.06,ITALY
led desk lamp,Paper,1.61,Ship,Medium,D,0.58,INDIA
led desk lamp,Other,1.86,Land,Low,D,1.86,JAPAN
led desk lamp,Steel,0.92,Ship,High,C,0.93,UK
led desk lamp,Other,1.84,Ship,High,D,1.03,BRAZIL
led desk lamp,Cardboard,0.25,Land,Medium,A,0.16,RUSSIA
led desk lamp,Glass,1.6,Land,High,D,1.68,GERMANY
led desk lamp,Cardboard,0.33,Ship,Medium,C,0.17,ITALY
led desk lamp,Paper,0.47,Land,Medium,C,0.21,USA
led desk lamp,Bamboo,0.46,Air,Medium,F,0.62,BRAZIL
led desk lamp,Other,1.66,Air,Medium,F,3.73,ITALY
led desk lamp,Paper,1.05,Land,Medium,B,0.47,UK
led desk lamp,Aluminum,1.93,Ship,High,D,1.73,SINGAPORE
led desk lamp,Other,1.52,Land,Low,D,1.52,RUSSIA
led desk lamp,Steel,1.85,Land,High,D,2.33,USA
led desk lamp,Plastic,0.78,Land,Low,C,0.94,NORWAY
led desk lamp,Plastic,0.74,Air,Low,F,2.22,INDIA
led desk lamp,Steel,1.01,Land,High,C,1.27,GERMANY
led desk lamp,Other,0.18,Ship,High,B,0.1,CHINA
led desk lamp,Glass,1.03,Air,High,F,2.7,USA
led desk lamp,Steel,0.63,Land,High,C,0.79,JAPAN
led desk lamp,Cardboard,0.2,Air,Medium,F,0.32,UK
led desk lamp,Cardboard,0.76,Land,Medium,A,0.48,NORWAY
led desk lamp,Plastic,0.57,Land,Low,C,0.68,USA
led desk lamp,Plastic,1.61,Ship,Low,D,1.55,UK
led desk lamp,Aluminum,0.69,Ship,High,C,0.62,UK
led desk lamp,Other,0.14,Air,Low,F,0.35,BRAZIL
led desk lamp,Other,0.44,Land,Medium,D,0.4,CHINA
led desk lamp,Aluminum,0.73,Air,High,F,2.04,NORWAY
led desk lamp,Cardboard,1.22,Air,Medium,F,1.92,ITALY
led desk lamp,Steel,1.75,Land,High,D,2.2,JAPAN
led desk lamp,Bamboo,0.63,Ship,Medium,A,0.27,CHINA
led desk lamp,Bamboo,0.2,Air,Medium,F,0.27,ITALY
mouse,Steel,1.47,Land,High,D,1.85,BRAZIL
mouse,Bamboo,1.24,Ship,Medium,D,0.54,ITALY
mouse,Bamboo,0.12,Ship,Medium,A+,0.05,USA
mouse,Bamboo,1.41,Land,Medium,D,0.76,UK
mouse,Aluminum,1.69,Air,High,F,4.73,BRAZIL
mouse,Paper,1.65,Air,Medium,F,1.86,SINGAPORE
mouse,Bamboo,0.46,Land,Medium,E,0.25,ITALY
mouse,Bamboo,0.77,Air,Medium,F,1.04,ITALY
mouse,Bamboo,0.29,Air,Medium,F,0.39,JAPAN
mouse,Other,1.1,Air,Medium,F,2.48,UK
mouse,Bamboo,0.78,Air,Medium,F,1.05,JAPAN
mouse,Glass,0.56,Land,High,E,0.59,ITALY
mouse,Glass,1.94,Land,High,D,2.04,JAPAN
mouse,Paper,0.1,Air,Medium,F,0.11,ITALY
mouse,Bamboo,1.81,Ship,Medium,D,0.78,GERMANY
mouse,Cardboard,1.6,Air,Medium,F,2.52,JAPAN
mouse,Plastic,0.71,Ship,Low,F,0.68,SINGAPORE
mouse,Plastic,1.09,Air,Low,F,3.27,GERMANY
mouse,Aluminum,0.37,Land,High,E,0.41,ITALY
mouse,Bamboo,0.82,Air,Medium,F,1.11,INDIA
mouse,Steel,1.72,Ship,High,D,1.73,RUSSIA
mouse,Aluminum,0.96,Air,High,F,2.69,NORWAY
mouse,Glass,1.39,Land,High,D,1.46,BRAZIL
mouse,Bamboo,0.73,Air,Medium,F,0.99,USA
mouse,Cardboard,1.31,Air,Medium,F,2.06,USA
mouse,Bamboo,1.45,Air,Medium,F,1.96,CHINA
mouse,Glass,0.52,Ship,High,B,0.44,RUSSIA
mouse,Other,0.25,Ship,Medium,E,0.18,JAPAN
mouse,Steel,0.44,Land,High,C,0.55,UK
mouse,Bamboo,1.3,Air,Medium,F,1.76,UK
mouse,Aluminum,0.42,Air,High,F,1.18,BRAZIL
mouse,Cardboard,1.58,Ship,Medium,D,0.8,FRANCE
mouse,Aluminum,0.55,Land,High,B,0.62,RUSSIA
mouse,Paper,1.26,Ship,Medium,D,0.45,BRAZIL
mouse,Plastic,1.19,Land,Low,C,1.43,INDIA
mouse,Steel,1.65,Air,High,F,5.2,JAPAN
mouse,Glass,0.58,Land,High,F,0.61,FRANCE
mouse,Bamboo,0.79,Ship,Medium,C,0.34,INDIA
mouse,Paper,0.34,Air,Medium,F,0.38,UK
mouse,Plastic,1.58,Air,Low,F,4.74,ITALY
mouse,Paper,1.16,Land,Medium,D,0.52,FRANCE
mouse,Other,0.62,Air,Low,F,1.55,SINGAPORE
mouse,Glass,1.63,Ship,High,D,1.37,NORWAY
mouse,Bamboo,1.62,Air,Medium,F,2.19,INDIA
mouse,Aluminum,1.55,Air,High,F,4.34,SINGAPORE
mouse,Other,1.55,Air,Low,F,3.88,JAPAN
mouse,Other,1.19,Ship,High,A,0.67,INDIA
mouse,Aluminum,1.29,Air,High,F,3.61,ITALY
mouse,Paper,0.8,Land,Medium,D,0.36,CHINA
mouse,Cardboard,1.91,Land,Medium,D,1.2,SINGAPORE
mouse,Steel,1.28,Ship,High,D,1.29,ITALY
mouse,Other,0.23,Land,Medium,D,0.21,SINGAPORE
mouse,Cardboard,1.46,Land,Medium,D,0.92,FRANCE
mouse,Glass,0.26,Air,High,F,0.68,BRAZIL
mouse,Steel,0.85,Air,High,F,2.68,FRANCE
mouse,Plastic,0.63,Ship,Low,C,0.6,SINGAPORE
mouse,Cardboard,0.54,Ship,Medium,E,0.27,SINGAPORE
mouse,Paper,1.42,Ship,Medium,D,0.51,NORWAY
mouse,Plastic,0.5,Ship,Low,D,0.48,USA
mouse,Aluminum,1.6,Land,High,D,1.79,INDIA
mouse,Glass,1.73,Ship,High,D,1.45,NORWAY
mouse,Glass,0.18,Air,High,F,0.47,SINGAPORE
mouse,Glass,1.29,Ship,High,D,1.08,RUSSIA
mouse,Bamboo,1.47,Land,Medium,D,0.79,RUSSIA
mouse,Bamboo,1.57,Ship,Medium,D,0.68,BRAZIL
mouse,Steel,0.58,Land,High,C,0.73,SINGAPORE
mouse,Other,0.42,Air,Medium,F,0.95,NORWAY
mouse,Other,1.0,Land,Medium,A,0.9,INDIA
mouse,Bamboo,1.04,Air,Medium,F,1.4,ITALY
mouse,Other,0.8,Land,High,C,0.56,USA
mouse,Plastic,1.7,Land,Low,D,2.04,UK
mouse,Aluminum,0.98,Air,High,F,2.74,FRANCE
mouse,Bamboo,1.9,Ship,Medium,D,0.82,SINGAPORE
mouse,Glass,0.4,Ship,High,B,0.34,RUSSIA
mouse,Cardboard,0.65,Air,Medium,F,1.02,NORWAY
mouse,Cardboard,1.8,Ship,Medium,D,0.91,JAPAN
mouse,Aluminum,0.16,Ship,High,A,0.14,UK
mouse,Plastic,0.78,Air,Low,F,2.34,ITALY
mouse,Other,0.6,Ship,High,B,0.34,GERMANY
mouse,Paper,0.81,Land,Medium,A,0.36,INDIA
mouse,Other,0.28,Air,Medium,F,0.63,JAPAN
mouse,Paper,0.42,Air,Medium,F,0.47,FRANCE
mouse,Steel,0.46,Ship,High,C,0.46,BRAZIL
mouse,Plastic,1.83,Air,Low,F,5.49,ITALY
mouse,Aluminum,1.75,Air,High,F,4.9,CHINA
mouse,Aluminum,1.66,Ship,High,D,1.49,ITALY
mouse,Other,0.35,Air,Low,F,0.88,JAPAN
mouse,Other,0.5,Air,Medium,F,1.12,FRANCE
mouse,Steel,0.46,Ship,High,C,0.46,FRANCE
mouse,Aluminum,0.27,Ship,High,E,0.24,USA
mouse,Bamboo,0.17,Land,Medium,F,0.09,BRAZIL
mouse,Steel,1.73,Air,High,F,5.45,USA
mouse,Bamboo,1.27,Air,Medium,F,1.71,NORWAY
mouse,Other,1.16,Land,High,E,0.81,JAPAN
mouse,Paper,0.43,Land,Medium,F,0.19,SINGAPORE
mouse,Plastic,1.72,Land,Low,D,2.06,GERMANY
mouse,Paper,1.86,Ship,Medium,D,0.67,UK
mouse,Bamboo,0.67,Land,Medium,B,0.36,BRAZIL
mouse,Aluminum,1.98,Land,High,D,2.22,ITALY
mouse,Steel,1.98,Air,High,F,6.24,SINGAPORE
eco tote bag,Glass,1.01,Air,High,F,2.65,INDIA
eco tote bag,Plastic,0.88,Air,Low,F,2.64,UK
eco tote bag,Glass,0.41,Land,High,F,0.43,GERMANY
eco tote bag,Steel,1.23,Land,High,D,1.55,BRAZIL
eco tote bag,Bamboo,0.16,Land,Medium,C,0.09,NORWAY
eco tote bag,Plastic,0.74,Air,Low,F,2.22,USA
eco tote bag,Steel,1.0,Land,High,C,1.26,GERMANY
eco tote bag,Cardboard,0.95,Ship,Medium,C,0.48,BRAZIL
